Time,MinTemp,MaxTemp
50.0,95.16,374.67
100.0,147.66,505.95
150.0,220.18,586.99
200.0,296.75,647.28
250.0,370.98,697.33
300.0,440.57,741.22
350.0,504.9,781.24
400.0,564.01,817.42
450.0,618.19,850.26
500.0,667.78,880.19
